1 second data,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
1.00,19.30,19.70,19.40,19.10,18.70,19.20,19.50,19.40,18.70,18.80,19.20
2.00,19.40,19.70,19.40,19.00,18.70,19.30,19.50,19.30,18.70,18.80,19.30
3.00,19.50,19.60,19.30,19.00,18.70,19.30,19.50,19.30,18.70,18.80,19.30
4.00,19.50,19.60,19.20,18.90,18.80,19.40,19.50,19.30,18.80,18.80,19.30
5.00,19.60,19.60,19.20,18.90,18.90,19.40,19.50,19.20,18.80,18.90,19.30
6.00,19.60,19.50,19.10,18.90,18.90,19.50,19.40,19.10,18.90,19.00,19.30
7.00,19.60,19.50,19.10,18.80,19.10,19.50,19.40,19.10,18.90,19.00,19.30
8.00,19.50,19.40,19.00,18.80,19.10,19.50,19.30,19.00,18.90,19.10,19.30
9.00,19.50,19.30,18.90,18.80,19.20,19.50,19.30,18.90,19.00,19.10,19.30
10.00,19.50,19.30,18.90,18.90,19.30,19.50,19.30,18.90,19.10,19.20,19.20
11.00,19.50,19.20,18.90,18.90,19.30,19.50,19.20,18.80,19.20,19.20,19.20
12.00,19.50,19.20,18.90,19.00,19.40,19.50,19.20,18.80,19.20,19.30,19.20
13.00,19.40,19.10,18.90,19.10,19.40,19.50,19.10,18.80,19.30,19.30,19.20
14.00,19.40,19.10,18.80,19.10,19.50,19.40,19.10,18.80,19.40,19.30,19.20
15.00,19.30,19.10,18.80,19.20,19.50,19.40,19.00,18.80,19.40,19.30,19.20
16.00,19.30,19.10,18.80,19.20,19.50,19.40,19.00,18.70,19.40,19.30,19.20
17.00,19.30,19.00,18.80,19.30,19.50,19.40,19.00,18.70,19.50,19.40,19.20
18.00,19.30,19.00,18.80,19.30,19.50,19.30,18.90,18.70,19.50,19.40,19.20
19.00,19.20,19.00,18.90,19.30,19.50,19.30,18.90,18.70,19.50,19.30,19.10
20.00,19.20,19.00,18.90,19.40,19.50,19.30,18.90,18.70,19.50,19.30,19.20
21.00,19.20,19.00,18.90,19.40,19.50,19.30,18.90,18.70,19.50,19.30,19.10
22.00,19.20,19.00,18.90,19.40,19.50,19.30,18.90,18.70,19.50,19.30,19.10
23.00,19.20,19.00,18.90,19.40,19.50,19.30,18.90,18.70,19.50,19.30,19.10
24.00,19.20,19.00,18.90,19.30,19.50,19.30,18.90,18.70,19.50,19.30,19.10
